,School,Date_announced,In_effect_from,Effective_until,Num_on_day,Precautions,,Src,Unnamed: 7
120,Colorado Mesa University,3/11/20,3/16/20,4/5/20,307,,,https://www.coloradomesa.edu/alerts/documents/update-from-john-marshall-3.11.20.pdf,
122,Colorado School of Mines,3/11/20,3/16/20,6/30/20,308,,,https://www.mines.edu/emergency/3-11-20-update-remote-education/,
123,Colorado State University,3/11/20,3/14/20,4/10/20,309,,,https://president.colostate.edu/important-public-health-message-to-the-csu-campus-community/,
239,Cornell College,3/11/20,3/11/20,4/12/20,310,,,https://www.cornellcollege.edu/student-health/covid-19response/index.shtml?_ga=2.121614472.1212853590.1584054903-754808128.1584054903,
261,DePaul University,3/11/20,3/11/20,6/30/20,311,,,https://resources.depaul.edu/coronavirus-covid-19-updates/Pages/default.aspx,
346,Dillard University,3/11/20,3/23/20,6/30/20,312,,,https://www.wwltv.com/mobile/article/news/health/coronavirus/dillard-university-all-courses-will-go-online-march-23/289-4b909d04-1804-46eb-9082-a078495c6526,
240,Drake University,3/11/20,3/15/20,4/5/20,313,,,https://www.drake.edu/coronavirus/,
264,Elmhurst College,3/11/20,3/16/20,6/30/20,314,,,https://www.elmhurst.edu/covid-19-updates/,
751,Franklin and Marshall College,3/11/20,3/20/20,5/9/20,315,,,https://www.fandm.edu/campus-life/covid-19-updates,
515,Gardner-Webb University,3/11/20,3/16/20,4/1/20,316,,,https://gardner-webb.edu/offices-and-departments/departments/university-police/emergency-information/health-advisories/coronavirus/community-update-3-11-20/index,
886,Germanna Community College,3/11/20,3/11/20,4/3/20,317,,,https://www.germanna.edu/blog/highlights/in-response-to-pandemic-germanna-to-move-classes-online-until-at-least-april-3/,
608,Hilbert College,3/11/20,3/14/20,3/30/20,318,,,https://www.hilbert.edu/about/coronavirus-update,
756,King's College,3/11/20,3/11/20,4/13/20,319,,,https://www.kings.edu/mykings/covid-19-information,
757,Kutztown University,3/11/20,3/11/20,5/9/20,320,,,https://www.kutztown.edu/news-and-media/announcements/coronavirus-information-center.html,
759,Lafayette College,3/11/20,3/14/20,5/18/20,321,,,https://covid19.lafayette.edu/2020/03/11/moving-to-remote-teaching-march-23-april-5/,
760,Lehigh University,3/11/20,3/16/20,5/13/20,322,,,https://www2.lehigh.edu/news/updates-on-novel-coronavirus,
622,Long Island University,3/11/20,3/16/20,6/30/20,323,,,https://liu.edu/coronavirus,
520,Mars Hill University,3/11/20,3/11/20,4/3/20,324,,,https://www.mhu.edu/campus-life/support-resources/wellness-center/health-information/,
892,Marymount University,3/11/20,3/11/20,3/30/20,325,,,https://www.marymount.edu/Student-Life/Health-Wellness/COVID-19-Information,
465,Maryville University of Saint Louis,3/11/20,3/16/20,3/29/20,326,,,https://www.maryville.edu/maryville-university-moves-to-virtual-course-platform-for-two-weeks/,
421,Michigan Technological University,3/11/20,3/16/20,4/17/20,327,,,https://www.detroitnews.com/story/news/local/michigan/2020/03/11/michigan-state-suspending-person-classes-due-coronavirus/5020219002/,
893,Norfolk State University,3/11/20,3/11/20,6/30/20,328,,,https://www.nsu.edu/coronavirus,
339,Northern Kentucky University,3/11/20,3/11/20,6/30/20,329,,,https://www.nku.edu/covid19.html,
894,Northern Virginia Community College,3/11/20,3/16/20,4/4/20,330,,,https://www.nvcc.edu/news/press-releases/2020/virtual-learning-plan.html,
710,Ohio Northern University,3/11/20,3/13/20,6/30/20,331,,,https://www.onu.edu/covid-19,
767,Pennsylvania College of Health Sciences,3/11/20,3/11/20,6/30/20,332,,,https://www.pacollege.edu/pressroom/covid-19/,
846,Prairie View A&M University,3/11/20,3/11/20,3/23/20,333,,,http://www.pvamu.edu/wp-content/uploads/2020/03/Classes-to-Resume-March-23.pdf,
318,"Purdue University, Fort Wayne",3/11/20,3/16/20,6/30/20,334,,,https://www.pfw.edu/coronavirus/,
319,"Purdue University, Northwest",3/11/20,3/12/20,4/4/20,335,,,https://www.indystar.com/story/news/education/2020/03/11/coronavirus-indiana-colleges-universities-respond/5021722002/,
897,Radford University,3/11/20,3/11/20,4/7/20,336,,,https://www.radford.edu/content/radfordcore/home/coronavirus/updates/president-message-march-11.html,
792,Rhode Island College,3/11/20,3/16/20,6/30/20,337,,,http://www.ric.edu/Pages/default.aspx,
559,Rider University,3/11/20,3/14/20,5/12/20,338,,,https://www.rider.edu/coronavirus/campus-communication,
20,Samford University,3/11/20,3/11/20,4/6/20,339,,,https://www.samford.edu/emergency/information/coronavirus/messages/2020-03-11,
101,Santa Monica College,3/11/20,3/14/20,6/30/20,340,,,,
650,Sarah Lawrence College,3/11/20,3/12/20,5/8/20,341,,,https://www.sarahlawrence.edu/status/covid/,
901,Shenandoah University,3/11/20,3/16/20,3/29/20,342,,,https://www.su.edu/blog/2020/03/covid-19-update-online-instruction-begins-monday-for-at-least-two-weeks/,
924,Skagit Valley College,3/11/20,3/10/20,6/30/20,343,,,https://www.skagit.edu/about/safety-security-parking/coronavirus-information/,
285,"Southern Illinois University, Carbondale",3/11/20,3/11/20,6/30/20,344,,,https://shc.siu.edu/coronavirus/campus-messages.php,
286,"Southern Illinois University, Edwardsville",3/11/20,3/11/20,6/30/20,345,,,http://www.siue.edu/about/announcements/email-03-11-siue-spring-break-extended-thru-march-22.shtml,
807,Spartanburg Methodist College,3/11/20,3/23/20,4/5/20,346,,,https://www.smcsc.edu/resources/student-support-services/health-services/covid19/,
944,St. Norbert College,3/11/20,3/23/20,4/13/20,347,,,https://www.snc.edu/health/coronavirus.html,
391,Stevenson University,3/11/20,3/11/20,3/27/20,348,,,,
855,Texas Christian University,3/11/20,3/16/20,4/3/20,349,,,https://www.tcu.edu/news/coronavirus.php,
859,Texas Wesleyan University,3/11/20,3/16/20,6/30/20,350,,,https://txwes.edu/coronavirus/#.Xmp29SUpCEc,
830,Trevecca Nazarene University,3/11/20,3/11/20,3/30/20,351,,,https://www.trevecca.edu/offices-services/coronavirus-covid-19,
860,Trinity University,3/11/20,3/16/20,6/30/20,352,,,https://www.trinitonian.com/trinity-cancels-classes-closes-residence-halls/,
727,University of Central Oklahoma,3/11/20,3/11/20,5/8/20,353,,,https://blogs.uco.edu/central/category/coronavirus/,
425,University of Detroit Mercy,3/11/20,3/11/20,6/30/20,354,,,https://www.udmercy.edu/life/health/health-advisory.php,
903,University of Lynchburg,3/11/20,3/11/20,6/30/20,355,,,https://www.lynchburg.edu/student-life/health-and-counseling/health-center/2019-novel-coronavirus-covid-19/,
403,"University of Maine, Augusta",3/11/20,3/14/20,5/9/20,356,,,https://www.uma.edu/news/tag/covid-19/,
404,"University of Maine, Farmington",3/11/20,3/14/20,5/8/20,357,,,https://www.umf.maine.edu/about/office-of-the-president/umf-coronavirus-covid-19-communications/,
405,"University of Maine, Fort Kent",3/11/20,3/14/20,5/8/20,358,,,https://www.umfk.edu/notifications/coronavirus/,
406,"University of Maine, Machias",3/11/20,3/14/20,5/7/20,359,,,https://umaine.edu/coronavirus/,
407,"University of Maine, Presque Isle",3/11/20,3/14/20,3/24/20,360,,,https://www.umpi.edu/emergency/covid-19-faq/,
408,University of Maine School of Law,3/11/20,3/15/20,5/13/20,361,,,https://www.maine.edu/blog/2020/03/18/universities-resume-classes-march-25-commit-to-room-and-board-adjustments-and-rebates-for-residential-students/,
904,University of Mary Washington,3/11/20,3/12/20,4/3/20,362,,,https://www.umw.edu/advisories/coronavirus/,
426,"University of Michigan, Ann Arbor",3/11/20,3/12/20,4/21/20,363,,,https://umich.edu/announcements/,
427,"University of Michigan, Dearborn",3/11/20,3/12/20,4/21/20,364,,,https://umich.edu/announcements/,
428,"University of Michigan, Flint",3/11/20,3/12/20,4/21/20,365,,,https://umich.edu/announcements/,
254,University of Northern Iowa,3/11/20,3/15/20,7/31/20,366,,,https://prepare.uni.edu/online-coursework-extended-through-spring-summer,
779,"University of Pittsburgh, Bradford",3/11/20,3/11/20,4/24/20,367,,,https://www.upb.pitt.edu/covid19/updates,
780,"University of Pittsburgh, Greensburg",3/11/20,3/11/20,4/24/20,368,,,https://www.greensburg.pitt.edu/news/covid-19-updates,
781,"University of Pittsburgh, Johnstown",3/11/20,3/11/20,4/24/20,369,,,https://www.emergency.pitt.edu/covid-19,
782,"University of Pittsburgh, Titusville",3/11/20,3/11/20,4/24/20,370,,,https://www.titusville.pitt.edu/covid-19-update,
864,"University of Texas, Austin",3/11/20,3/11/20,3/29/20,371,,,https://president.utexas.edu/messages-speeches-2020/changing-spring-break-2020,
869,"University of Texas, San Antonio",3/11/20,3/11/20,4/13/20,372,,,https://www.utsa.edu/coronavirus/,
344,University of The Cumberlands,3/11/20,3/16/20,3/27/20,373,,,https://www.ucumberlands.edu/COVID19,
784,Ursinus College,3/11/20,3/11/20,6/30/20,374,,,https://www.ursinus.edu/offices/wellness-center/covid-19-coronavirus/campus-updates/,
908,Virginia Polytechnic Institute and State University,3/11/20,3/11/20,6/30/20,375,,,https://vt.edu/flu/2019Coronavirus.html,
478,"Washington University, Medical",3/11/20,3/11/20,4/30/20,376,,,https://emergency.wustl.edu/wp-content/uploads/2020/03/March-11-message-from-chancellor.pdf,
479,Webster University,3/11/20,3/16/20,4/3/20,377,,,http://news.webster.edu/global/2020/covid-19-task-force-online-course-events-update.html,
380,Wentworth Institute of Technology,3/11/20,3/11/20,6/30/20,378,,,https://wit.edu/covid-19-online-classes,
722,Wittenberg University,3/11/20,3/22/20,4/6/20,379,,,https://www.wittenberg.edu/administration/healthwellness/covid-19-frequently-asked-questions,
56,"California State University, Chico",3/11/20,3/13/20,4/24/20,380,,,,
58,"California State University, East Bay",3/11/20,3/13/20,4/24/20,381,,,,
64,"California State University, Northridge",3/11/20,3/12/20,6/30/20,382,,,,
65,"California State University, San Bernadino",3/11/20,3/22/20,6/30/20,383,,,,
70,Claremont McKenna College,3/11/20,3/16/20,6/30/20,384,,,,
700,Clark State Community College,3/11/20,3/16/20,5/9/20,385,,,https://www.clarkstate.edu/about-us/coronavirus-covid-19-information/,
958,Concord University,3/11/20,3/11/20,3/23/20,386,,,https://www.concord.edu/Student-Life/Student-Health-Wellness/Coronavirus-(1.aspx,
135,Capital Community College,3/11/20,3/15/20,4/5/20,387,,,https://www.wfsb.com/news/all-public-schools-closed-two-weeks-due-to-coronavirus/article_08315942-63a9-11ea-8a8d-fbf599c94a44.html,
745,Clarks Summit University,3/11/20,3/14/20,4/14/20,388,,,https://www.clarkssummitu.edu/coronavirus/,
959,Fairmont State University,3/11/20,3/14/20,4/24/20,389,,,https://www.fairmontstate.edu/coronavirus,
514,Fayetteville State University,3/11/20,3/11/20,6/30/20,390,,,,
755,Juniata College,3/11/20,3/11/20,5/11/20,391,,,https://www.juniata.edu/coronavirus.php,
523,North Carolina Agricultural and Technical State University,3/11/20,3/16/20,6/30/20,392,,,https://www.ncat.edu/coronavirus/3-11-2020-covid-19-memo_final.pdf,
524,North Carolina Central University,3/11/20,3/11/20,6/30/20,393,,,https://www.nccu.edu/news/informational-updates-regarding-novel-coronavirus-outbreak-jan-31-march-16-2020,
368,"Northeastern University, Boston",3/11/20,3/12/20,6/30/20,394,,,https://news.northeastern.edu/coronavirus/university-messages/,
423,Oakland University,3/11/20,3/11/20,4/25/20,395,,,https://www.detroitnews.com/story/news/local/michigan/2020/03/11/michigan-state-suspending-person-classes-due-coronavirus/5020219002/,
643,Paul Smith's College,3/11/20,3/14/20,5/8/20,396,,,https://www.paulsmiths.edu/covid-19/,
93,Pitzer College,3/11/20,3/16/20,6/30/20,397,,,,
102,Scripps College,3/11/20,3/16/20,6/30/20,398,,,,
131,University of Northern Colorado,3/11/20,3/15/20,4/5/20,399,,,https://www.unco.edu/coronavirus/messages/urgent-message-regarding-covid19.aspx,
409,University of Southern Maine,3/11/20,3/14/20,3/24/20,400,,,https://usm.maine.edu/president/coronavirus,
537,Western Carolina University,3/11/20,3/11/20,6/30/20,401,,,,
381,Westfield State University,3/11/20,3/16/20,3/29/20,402,,,http://www.westfield.ma.edu//student-life/health-services/coronavirus-update,
539,Winston-Salem State University,3/11/20,3/11/20,6/30/20,403,,,,
151,Rhode Island School of Design,3/12/20,3/22/20,Indefinitely,1,Vacate dorms,,,
152,Brown University,3/12/20,3/22/20,Indefinitely,2,Vacate dorms,,,
154,Canisius College,3/12/20,3/23/20,4/6/20,3,Vacate dorms,,,
153,Eckerd College,3/12/20,3/30/20,Indefinitely,4,Vacate dorms,,,
0,Alabama A&M University,3/12/20,3/16/20,6/30/20,5,Vacate dorms,,https://www.aamu.edu/about/inside-aamu/news/aamu-coronavirus-update.html,
580,Cazenovia College,3/12/20,3/15/20,6/30/20,6,Vacate dorms,,https://www.cazenovia.edu/coronavirus,
957,Viterbo University,3/12/20,3/16/20,4/8/20,7,Vacate dorms,,https://www.viterbo.edu/news/march-12-2020-covid-19-message-students,
746,Delaware Valley University,3/12/20,3/12/20,5/13/20,8,Vacate dorms,,https://www.delval.edu/offices-services/health-services/coronavirus-covid-19-information,
262,Dominican University,3/12/20,3/16/20,6/30/20,9,Vacate dorms,,https://www.dom.edu/covid-19-alert/home,
301,Earlham College,3/12/20,3/12/20,6/30/20,10,Vacate dorms,,https://earlham.edu/coronavirus/,
269,Illinois Wesleyan University,3/12/20,3/12/20,3/30/20,11,Vacate dorms,,https://www.iwu.edu/updates/coronavirus/,
518,Johnson C Smith University,3/12/20,3/16/20,5/9/20,12,Vacate dorms,,https://www.jcsu.edu/news-events/jcsu-alert/covid-19-novel-coronavirus-information,
709,Oberlin College and Conservatory,3/12/20,3/13/20,5/17/20,13,Vacate dorms,,https://www.oberlin.edu/news/corona-virus-updates,
770,Point Park University,3/12/20,3/13/20,4/24/20,14,Vacate dorms,,https://www.pointpark.edu/StudentLife/HealthandStudentServices/StudentHealthCenter/covid/,
867,"University of Texas, Permian Basin",3/12/20,3/16/20,6/30/20,15,Vacate dorms,,https://www.utpb.edu/announcements/coronavirus-letter,
965,West Virginia Wesleyan College,3/12/20,3/15/20,6/30/20,16,Vacate dorms,,https://www.wvwc.edu/campus-life/campus-safety-security/campus-response-and-preparedness-for-covid-19-coronavirus/,
236,Clarke University,3/12/20,3/14/20,4/5/20,17,Vacate dorms,,https://www.clarke.edu/news/cu-coronavirus-2019-ncov-updates/,
773,Seton Hill University,3/12/20,3/13/20,5/8/20,18,Vacate dorms,,https://www.setonhill.edu/student-life/counseling-disability-health-services/coronavirus-updates/,
197,Emporia State University,3/12/20,"Monday March 16-20 canceled, online after spring break",,19,,,,
160,Arkansas State University,3/12/20,3/13/20,4/10/20,20,,,,
190,Azusa Pacific University,3/12/20,March 16 through end of semester,,21,,,,
165,Brigham Young University,3/12/20,3/18/20,Indefinitely,22,,,,
192,California Baptist University,3/12/20,Spring break extended at least one week to March 27th,,23,,,,
163,"California State University, Fresno",3/12/20,3/20/20,4/27/20,24,,,,
194,Carleton College,3/12/20,Spring Term,,25,,,,
196,Colby College,3/12/20,3/14/20,,26,"Spring break Mach 16-30, remote learning for rest of semester, students must leave by March 15",,,
158,Dartmouth College,3/12/20,3/16/20,5/1/20,27,Those out of campus at the moment cannot return.,,,
199,Grand Canyon University,3/12/20,3/23/2020-end of semester,,28,,,,
201,Hamilton College,3/12/20,3/12/20,,29,"Remote instruction starts March 30, students must return home",,,
161,Henderson State University,3/12/20,3/13/20,4/13/20,30,,,,
162,Lawrence University of Appleton,3/12/20,3/29/20,Indefinitely,31,Spring break extended through 29th.,,,
202,Lewis University,3/12/20,3/23-4/6,,32,,,,
166,"Macomb Community College, ALL CAMPUSES",3/12/20,3/23/20,Indefinitely,33,Class cancelled through 22nd,,,
170,Marquette University,3/12/20,3/16/20,4/10/20,34,,,,
175,Mayville State University,3/12/20,3/14/20,4/5/20,35,,,,
155,"Minnesota State Colleges and Universities system, ALL CAMPUSES",3/12/20,3/16/20,3/29/20,36,,,,
173,Minot State University,3/12/20,3/23/20,4/3/20,37,,,,
171,North Dakota State College of Science,3/12/20,3/23/20,4/3/20,38,,,,
172,North Dakota State University,3/12/20,3/23/20,4/3/20,39,,,,
167,"Oakland County Community College, ALL CAMPUSES",3/12/20,3/23/20,Indefinitely,40,Class cancelled through 22nd,,,
205,Pomona College,3/12/20,Til end of semester,,41,,,,
206,Rockhurst University,3/12/20,"March 16-28, 2020",,42,,,,
164,Southwestern Oklahoma State University,3/12/20,3/23/20,4/3/20,43,Spring break extended.,,,
208,St. Mary's University,3/12/20,March 16-20,,44,,,,
210,Texas State University,3/12/20,3/12-4/12,,45,,,,
212,Texas Tech University,3/12/20,3/23-end of spring term,,46,,,,
214,The Sage Colleges,3/12/20,March 23 - April 3,,47,,,,
215,Tidewater Community College,3/12/20,"March 16, 2020-April 1, 2020",,48,"Classes cancelled March 16-17, remote learning starts March 18-April 1",,,
159,University of Alabama,3/12/20,3/13/20,4/6/20,49,"Spring break extended, online begins March 30",,,
156,"University of Georgia system, ALL CAMPUSES",3/12/20,3/16/20,3/29/20,50,,,,
232,"University of Hawaii, Hilo",3/12/20,3/23/20,4/15/20,51,,,https://www.hawaiinewsnow.com/2020/03/12/coronavirus-fears-grow-uh-prepares-possibility-taking-all-classes-online/,
233,"University of Hawaii, Manoa",3/12/20,3/23/20,4/15/20,52,,,https://www.hawaiinewsnow.com/2020/03/12/coronavirus-fears-grow-uh-prepares-possibility-taking-all-classes-online/,
234,"University of Hawaii, West O'ahu",3/12/20,3/23/20,4/15/20,53,,,https://www.hawaiinewsnow.com/2020/03/12/coronavirus-fears-grow-uh-prepares-possibility-taking-all-classes-online/,
218,University of Hawaii system - 10 campuses,3/12/20,Eff. March 23rd 2020,,54,,,,
169,University of North Dakota,3/12/20,3/16/20,4/3/20,55,,,,
176,"University of Wisconsin, Eau Claire",3/12/20,3/13/20,Indefinitely,56,,,,
177,"University of Wisconsin, Parkside",3/12/20,3/16/20,End of semester,57,Extended,,,
178,"University of Wisconsin, Stevens Point",3/12/20,3/13/20,End of semester,58,,,,
179,"University of Wisconsin, Stout",3/12/20,3/13/20,End of semester,59,,,,
180,"University of Wisconsin, Superior",3/12/20,3/13/20,End of semester,60,,,,
181,"University of Wisconsin, Whitewater",3/12/20,3/13/20,End of semester,61,,,,
220,Vassar College,3/12/20,3/23/2020-4/10/2020,,62,,,,
157,"Vermont university system, ALL CAMPUSES",3/12/20,3/15/20,4/3/20,63,,,,
168,Washtenaw Community College,3/12/20,3/16/20,4/6/20,64,Class cancelled through April 5,,,
174,Williston State College,3/12/20,3/23/20,4/3/20,65,,,,
480,Alcorn State Univerisy,3/12/20,3/12/20,6/30/20,66,,,https://www.wtva.com/content/news/IHL-extends-spring-break-at-Mississippi-universities-over-coronavirus-concerns-568740711.html,
48,American River College,3/12/20,3/13/20,6/30/20,67,,,https://losrios.edu/coronavirusupdate,
488,Bitterroot College University of Montana,3/12/20,3/23/20,6/30/20,68,,,https://www.umt.edu/bitterroot-college/campus/safety/pg-spec-covid19.php,
490,City College at Montana State University,3/12/20,3/19/20,6/30/20,69,,,https://www.montana.edu/health/coronavirus/archived-comms.html#email21,
72,Cosumnes River College,3/12/20,3/13/20,6/30/20,70,,,https://losrios.edu/coronavirusupdate,
481,Delta State University,3/12/20,3/12/20,6/20/20,71,,,https://www.wtva.com/content/news/IHL-extends-spring-break-at-Mississippi-universities-over-coronavirus-concerns-568740711.html,
74,Folsom Lake College,3/12/20,3/13/20,6/30/20,72,,,https://losrios.edu/coronavirusupdate,
493,Gallatin College Montana State University,3/12/20,3/23/20,5/8/20,73,,,https://www.montana.edu/health/coronavirus/archived-comms.html#email21,
494,Great Falls College Montana State University,3/12/20,3/20/20,5/8/20,74,,,http://news.gfcmsu.edu/news/news_details.html?Commissioner-implores-students-public-to-stay-away-from-campus-as-much-as-possible-671,
495,Helena College University of Montana,3/12/20,3/23/20,6/30/20,75,,,http://helenacollege.edu/campus_safety/health_advisories.aspx,
482,Jackson State University,3/12/20,3/12/20,6/30/20,76,,,https://www.wtva.com/content/news/IHL-extends-spring-break-at-Mississippi-universities-over-coronavirus-concerns-568740711.html,
496,Miles Community College,3/12/20,3/23/20,5/1/20,77,,,https://mus.edu/coronavirus/remote-delivery-memo.html,
483,Mississippi State University,3/12/20,3/12/20,6/30/20,78,,,https://www.wtva.com/content/news/IHL-extends-spring-break-at-Mississippi-universities-over-coronavirus-concerns-568740711.html,
484,Mississippi University for Women,3/12/20,3/12/20,6/30/20,79,,,https://www.wtva.com/content/news/IHL-extends-spring-break-at-Mississippi-universities-over-coronavirus-concerns-568740711.html,
485,Mississippi Valley State College,3/12/20,3/12/20,6/30/20,80,,,https://www.wtva.com/content/news/IHL-extends-spring-break-at-Mississippi-universities-over-coronavirus-concerns-568740711.html,
497,Missoula College University of Montana,3/12/20,3/23/20,6/30/20,81,,,https://www.umt.edu/coronavirus/,
498,"Montana State University, Billings",3/12/20,3/23/20,5/8/20,82,,,https://www.montana.edu/health/coronavirus/archived-comms.html#email21,
499,"Montana State University, Bozeman",3/12/20,3/23/20,5/8/20,83,,,https://www.montana.edu/health/coronavirus/archived-comms.html#email21,
500,"Montana State University, Northern",3/12/20,3/19/20,5/8/20,84,,,https://www.msun.edu/news/article.aspx?id=19552/info-on-the-coronavirus,
501,Montana Tech,3/12/20,3/23/20,4/24/20,85,,,https://www.mtech.edu/coronavirus/index.html,
95,Sacramento City College,3/12/20,3/13/20,6/30/20,86,,,https://losrios.edu/coronavirusupdate,
31,"University of Alaska, Anchorage",3/12/20,3/12/20,6/30/20,87,,,https://sites.google.com/alaska.edu/coronavirus/,
32,"University of Alaska, Fairbanks",3/12/20,3/12/20,6/30/20,88,,,https://sites.google.com/alaska.edu/coronavirus/,
33,"University of Alaska, Southeast",3/12/20,3/12/20,6/30/20,89,,,https://sites.google.com/alaska.edu/coronavirus/,
486,University of Mississippi,3/12/20,3/12/20,6/30/20,90,,,https://www.wtva.com/content/news/IHL-extends-spring-break-at-Mississippi-universities-over-coronavirus-concerns-568740711.html,
503,"University of Montana, Missoula",3/12/20,3/23/20,6/30/20,91,,,https://www.umt.edu/coronavirus/,
504,"University of Montana, Western",3/12/20,3/13/20,6/30/20,92,,,https://w.umwestern.edu/section/health-advisories/,
505,University of Providence Montana,3/12/20,3/23/20,6/30/20,93,,,https://www.uprovidence.edu/coronavirus/,
487,University of Southern Mississippi,3/12/20,3/12/20,6/30/20,94,,,https://www.wtva.com/content/news/IHL-extends-spring-break-at-Mississippi-universities-over-coronavirus-concerns-568740711.html,
1,Alabama State University,3/12/20,3/12/20,6/30/20,95,,,https://www.alabamanews.net/2020/03/12/asu-closing-campus-for-remainder-of-spring-semester-following-spring-break-vacation/,
34,Arkansas Tech University,3/12/20,3/16/20,4/10/20,96,,,https://www.5newsonline.com/article/news/health/coronavirus/arkansas-tech-cancels-inperson-classes-coronavirus/527-7698f2f5-57d4-45f6-9fe0-11c62a5c18f2,
2,Auburn University,3/12/20,3/16/20,4/10/20,97,,,https://ocm.auburn.edu/newsroom/news_articles/2020/03/121240-coronavirus-remote-transition.php,
880,Averett University,3/12/20,3/18/20,4/1/20,98,,,https://www.averett.edu/student-life/campus-security/livesafe/,
431,Bemidji State University,3/12/20,3/16/20,3/29/20,99,,,https://www.bemidjistate.edu/coronavirus/2020/03/16/231/,
257,Benedictine University,3/12/20,3/23/20,4/6/20,100,,,http://www.ben.edu/coronavirus/coronavirus-notification-3-12-20.cfm,
298,Bethel University,3/12/20,3/18/20,4/10/20,101,,,https://www.betheluniversity.edu/about/news/public-relations-office/bethel-university-preparation-for-covid-19-coronavirus,
259,Bradley University,3/12/20,3/12/20,6/30/20,102,,,https://www.bradley.edu/coronavirus/,
196,Brenau University,3/12/20,3/23/20,6/30/20,103,,,https://www.brenau.edu/coronavirus/,
54,"California State University, Bakersfield",3/12/20,3/23/20,5/19/20,104,,,https://www.csub.edu/covid-19,
63,"California State University, Monterey Bay",3/12/20,3/13/20,5/16/20,105,,,https://csumb.edu/health/coronavirus-information,
67,"California State University, Stanislaus",3/12/20,3/17/20,6/30/20,106,,,https://www.csustan.edu/health-center/covid-19,
508,Campbell University,3/12/20,3/13/20,4/29/20,107,,,https://www.campbell.edu/coronavirus/#messages,
939,Carthage College,3/12/20,3/12/20,4/9/20,108,,,https://www.carthage.edu/alert/,
824,Christian Brothers University,3/12/20,3/13/20,4/14/20,109,,,https://www.cbu.edu/announcement,
881,Christopher Newport University,3/12/20,3/16/20,4/10/20,110,,,http://cnu.edu/coronavirus/communications/,
197,Clark Atlanta University,3/12/20,3/13/20,4/3/20,111,,,https://aucenter.edu/atlanta-university-center-responds-to-global-coronavirus-outbreak/,
362,Clark University,3/12/20,3/16/20,6/30/20,112,,,https://www.clarku.edu/covid-19-information/,
226,Hawai'i Community College,3/12/20,3/23/20,4/15/20,113,,,https://www.hawaiinewsnow.com/2020/03/12/coronavirus-fears-grow-uh-prepares-possibility-taking-all-classes-online/,
227,Honolulu Community College,3/12/20,3/23/20,4/15/20,114,,,https://www.hawaiinewsnow.com/2020/03/12/coronavirus-fears-grow-uh-prepares-possibility-taking-all-classes-online/,
305,Indiana Institute of Technology,3/12/20,3/16/20,3/30/20,115,,,https://www.indianatech.edu/coronavirus/,
306,Indiana State University,3/12/20,3/16/20,4/12/20,116,,,https://www.indstate.edu/covid-19,
228,Kapi'olani Community College,3/12/20,3/23/20,4/15/20,117,,,https://www.hawaiinewsnow.com/2020/03/12/coronavirus-fears-grow-uh-prepares-possibility-taking-all-classes-online/,
229,Kaua'i Community College,3/12/20,3/23/20,4/15/20,118,,,https://www.hawaiinewsnow.com/2020/03/12/coronavirus-fears-grow-uh-prepares-possibility-taking-all-classes-online/,
230,Leeward Community College,3/12/20,3/23/20,4/15/20,119,,,https://www.hawaiinewsnow.com/2020/03/12/coronavirus-fears-grow-uh-prepares-possibility-taking-all-classes-online/,
231,Maui College,3/12/20,3/23/20,4/15/20,120,,,https://www.hawaiinewsnow.com/2020/03/12/coronavirus-fears-grow-uh-prepares-possibility-taking-all-classes-online/,
235,Windward Community College,3/12/20,3/23/20,4/15/20,121,,,https://www.hawaiinewsnow.com/2020/03/12/coronavirus-fears-grow-uh-prepares-possibility-taking-all-classes-online/,
796,Clemson University,3/12/20,3/14/20,4/15/20,122,,,https://alerts.clemson.edu/2020/03/15/covid-19-update-03-15-20/,
237,Clinton Community College,3/12/20,3/14/20,4/12/20,123,,,https://www.eicc.edu/about-eicc/coronavirus/index.aspx,
798,Coker University,3/12/20,3/13/20,3/27/20,124,,,https://www.coker.edu/offices-services/campus-safety/alerts/,
799,College of Charleston,3/12/20,3/16/20,6/30/20,125,,,https://today.cofc.edu/2020/03/12/cofc-to-suspend-in-person-classes-due-to-coronavirus-pandemic-march-23-27/,
841,Collin College,3/12/20,3/12/20,3/22/20,126,,,http://www.collincollegenews.com/2020/03/12/collin-college-extends-spring-break-one-week-through-march-22/,
121,Colorado Mountain College,3/12/20,3/12/20,4/12/20,127,,,https://coloradomtn.edu/colorado-mountain-college-to-extend-spring-break-then-hold-credit-classes-via-distance-learning/,
800,Columbia College,3/12/20,3/16/20,6/30/20,128,,,https://www.columbiasc.edu/about/health-services/campus-health-advisories,
260,"Columbia College, Chicago",3/12/20,3/14/20,4/6/20,129,,,https://www.colum.edu/coronavirus-info/,
438,Concordia College St. Paul,3/12/20,3/16/20,6/30/20,130,,,https://www.csp.edu/covid19/,
71,Concordia University-Irvine,3/12/20,3/13/20,5/5/20,131,,,https://www.cui.edu/en-us/studentlife/wellness-center/communication-to-cui-community-on-coronavirus-disease-2019-covid19,
413,Cornerstone University,3/12/20,4/14/20,4/21/20,132,,,https://www.wzzm13.com/article/news/health/coronavirus/michigan-schools-online-classes-coronavirus/69-1c0fd585-92df-4a6c-a833-48b5823967da,
543,Creighton University,3/12/20,3/16/20,4/13/20,133,,,https://www.creighton.edu/about/covid-19,
